name,first_name,middle_name,last_name,passport_number,currency,address_city,address_street_name,address_street_number,address_postal_code,country_of_domicile,phone_number,email_address,address,client_id
Sabrina Luisa Haider,Sabrina,Luisa,Haider,NT5683131,EUR,Karlsruhe,Kantstraße,32,10397,Germany,+49 5744 781915,sabrina.haider@gmail.com,"{'city': 'Karlsruhe', 'street name': 'Kantstraße', 'street number': 32, 'postal code': '10397'}",7503
Cecilia Anna Donati,Cecilia,Anna,Donati,MT8043814,EUR,Brescia,Via IV Novembre,89,,Italy,+39 385 9767691,cecilia.donati@unidata.it,"{'city': 'Brescia', 'street name': 'Via IV Novembre', 'street number': 89, 'postal code': ''}",529
Bakker Visser Verhoeven,Bakker,Visser,Verhoeven,NQ0713934,EUR,Hengelo,Koninginnegracht,19,1156 73,Netherlands,06 57105499,bakker.verhoeven@tele2.nl,"{'city': 'Hengelo', 'street name': 'Koninginnegracht', 'street number': 19, 'postal code': '1156 73'}",2071
Rissanen Salo Turunen,Rissanen,Salo,Turunen,IK9849205,EUR,Lappeenranta,Meritullinkatu,20,81147,Finland,045 329 36 72,rissanen.turunen@suomi24.fi,"{'city': 'Lappeenranta', 'street name': 'Meritullinkatu', 'street number': 20, 'postal code': '81147'}",9499
Richard Simon Robin,Richard,Simon,Robin,YW8605401,EUR,Grenoble,Boulevard Arago,94,79101,France,08 80 78 66 39,richard.robin@laposte.net,"{'city': 'Grenoble', 'street name': 'Boulevard Arago', 'street number': 94, 'postal code': '79101'}",25
Andrea Sarah Fischer,Andrea,Sarah,Fischer,SS4721773,EUR,Brussels,Rue du Houblon,99,1630,Belgium,+32 0417 836 364,andrea.fischer@skype.be,"{'city': 'Brussels', 'street name': 'Rue du Houblon', 'street number': 99, 'postal code': '1630'}",4386
Wagner Schneider Bauer,Wagner,Schneider,Bauer,KI1021990,EUR,Stuttgart,Neuer Markt,22,02427,Germany,9094 766084,wagner.bauer@t-online.de,"{'city': 'Stuttgart', 'street name': 'Neuer Markt', 'street number': 22, 'postal code': '02427'}",5254
Geertje Janneke Voorn,Geertje,Janneke,Voorn,MV9554000,EUR,Eindhoven,Grote Markt,55,6159 83,Netherlands,+31 06 63532975,geertje.voorn@tele2.nl,"{'city': 'Eindhoven', 'street name': 'Grote Markt', 'street number': 55, 'postal code': '6159 83'}",4988
Emma Martina Fabbri,Emma,Martina,Fabbri,YH1417692,EUR,Perugia,Via Veneto,25,47524,Italy,+39 375 0463995,emma.fabbri@gmail.com,"{'city': 'Perugia', 'street name': 'Via Veneto', 'street number': 25, 'postal code': '47524'}",5066
Navarro García Muñoz,Navarro,García,Muñoz,BW6975892,EUR,Valladolid,Calle de la Paz,25,46193,Spain,+34 603 589 582,navarro.munoz@wanadoo.es,"{'city': 'Valladolid', 'street name': 'Calle de la Paz', 'street number': 25, 'postal code': '46193'}",7731
Moens De Smet Hermans,Moens,De Smet,Hermans,QK1799300,EUR,La Louvière,Rue des Chartreux,8,9611,Belgium,+32 0482 528 373,moens.hermans@voo.be,"{'city': 'La Louvière', 'street name': 'Rue des Chartreux', 'street number': 8, 'postal code': '9611'}",2243
Mari Essi Paananen,Mari,Essi,Paananen,PE6051292,EUR,Turin,Piazza Venezia,18,87324,Italy,+39 360 0795005,mari.paananen@infinito.it,"{'city': 'Turin', 'street name': 'Piazza Venezia', 'street number': 18, 'postal code': '87324'}",3391
Louise Lina Fournier,Louise,Lina,Fournier,KO4853053,EUR,Rennes,Place Vendôme,44,82006,France,08 70 41 80 24,louise.fournier@orange.fr,"{'city': 'Rennes', 'street name': 'Place Vendôme', 'street number': 44, 'postal code': '82006'}",8779
Castro Herrera Romero,Castro,Herrera,Romero,DL7699098,EUR,Toledo,Calle de la Princesa,75,98602,Spain,+34 639 049 731,castro.romero@hotmail.com,"{'city': 'Toledo', 'street name': 'Calle de la Princesa', 'street number': 75, 'postal code': '98602'}",5402
Aurora Katriina Tolvanen,Aurora,Katriina,Tolvanen,WO6860338,EUR,Pori,Meritullinkatu,99,17071,Finland,+358 043 041 13 81,aurora.tolvanen@elisa.fi,"{'city': 'Pori', 'street name': 'Meritullinkatu', 'street number': 99, 'postal code': '17071'}",7355
Josefine Mayr,Josefine,,Mayr,IZ1859014,EUR,Bregenz,Naschmarkt,96,7235,Austria,+43 543 715 8997,josefine.mayr@gmail.com,"{'city': 'Bregenz', 'street name': 'Naschmarkt', 'street number': 96, 'postal code': '7235'}",6287
Alexandra Daphné Jacobs,Alexandra,Daphné, Jacobs,FY0505286,EUR,La Louvière,Rue Royale,31,4576,Belgium,+32 0430 747 823,alexandra.jacobs@yahoo.com,"{'city': 'La Louvière', 'street name': 'Rue Royale', 'street number': 31, 'postal code': '4576'}",2627
Miriam Ilse Weber,Miriam,Ilse,Weber,SW4269094,EUR,Gmunden,Schönlaterngasse,15,2801,Austria,+43 220 540 5178,miriam.weber@gmail.com,"{'city': 'Gmunden', 'street name': 'Schönlaterngasse', 'street number': 15, 'postal code': '2801'}",7167
Evelien Floor Maassen,Evelien,Floor,Maassen,RX0114730,EUR,Zaandam,Overtoom,91,5034 90,Netherlands,+31 06 48336865,evelien.maassen@outlook.com,"{'city': 'Zaandam', 'street name': 'Overtoom', 'street number': 91, 'postal code': '5034 90'}",8913
Alejandra Dácil Ramos,Alejandra,Dácil,Ramos,DW5225347,EUR,Castellón de la Plana,Calle de la Estrella,34,69535,Spain,696 222 174,alejandra.ramos@yahoo.com,"{'city': 'Castellón de la Plana', 'street name': 'Calle de la Estrella', 'street number': 34, 'postal code': '69535'}",971
Ilaria Chiara Galli,Chiara,Ilaria,Galli,OC9081898,EUR,Venice,Corso Garibaldi,54,97554,Italy,+39 358 8191738,ilaria.galli@tiscali.it,"{'city': 'Venice', 'street name': 'Corso Garibaldi', 'street number': 54, 'postal code': '97554'}",2415
