currency,address_city,country_of_domicile,birth_date,nationality,gender,marital_status,higher_education,investment_risk_profile,investment_horizon,investment_experience,type_of_mandate,preferred_markets,aum_savings,aum_inheritance,aum_real_estate_value,inheritance_details_relationship,inheritance_details_profession,inheritance_details_inheritance year,Family Background,Education Background,Wealth Summary,Client Summary,country,label
DKK,Aalborg,Denmark,4/18/02,Danish,F,single,1,High,Medium,Inexperienced,Advisory,"['Spain', 'Denmark']",0,13140000,0,grandmother,Oil and Gas Executive,2020,Freja Katrine Christensen is currently single. She does not have any children.,"Freja obtained her secondary school diploma from Holstebro Gymnasium in 2022.
","She did not have any savings to invest in financial markets.
Client does not have any properties.In 2020, she received an inheritance of 13140000 DKK from her late grandmother, who was a prominent Oil and Gas Executive, and has since invested it in various assets.
","The RM is excited to help Freja navigate the challenges of starting a career and building a strong financial foundation.
",Denmark,1
EUR,Reims,France,5/31/74,French,M,divorced,1,Considerable,Short,Experienced,Advisory,"['France', 'Denmark']",360000,1360000,3200000,father,Real Estate Developer,2006,Gauthier Bernard is currently divorced. He does not have any children.,"In 1992, Gauthier graduated from Lycée Gustave Eiffel with a secondary school diploma.
In 1998, Gauthier graduated from ESSEC Business School with a degree.
On top of that he then attended University of Lyon, where he graduated in 2003.
","Throughout his career, he saved 360000 EUR, investing in various assets to grow his wealth.
His remarkable portfolio comprises 2 stunning properties. Situated in prime locations across Reims and Rennes, these assets demonstrate their sophisticated understanding of real estate investments and high-end lifestyle preferences.
He inherited a significant sum of 1360000 EUR from his father, a respected Real Estate Developer, in 2006, which he has wisely invested.
","Based on the information provided, we are excited about the client's financial journey and look forward to supporting him in achieving his financial goals.
",France,1
EUR,Montpellier,France,12/25/77,French,F,divorced,1,Low,Short,Experienced,Advisory,"['France', 'Belgium']",350000,2240000,6070000,mother,Tech Entrepreneur,2014,"Louna Ève Bertrand is currently divorced. Her children are named Marchand, Robin and Louis.","Louna completed her secondary education at Lycée Chaptal in 1996.
Louna received her degree from University of Toulouse in 2001.
","Throughout her career, she saved 350000 EUR, investing in various assets to grow her wealth.
She owns villa in Montpellier, where she resides. It is worth 3290000 EUR.

In addition to her primary residence, she owns flat in Orléans worth 1384000 EUR.

Moreover, she has invested in additional property in Rouen, giving possiblity for generating additional income. The flat is valued at 1396000 EUR.

She inherited a significant sum of 2240000 EUR from her mother, a respected Tech Entrepreneur, in 2014, which she has wisely invested.
","In summary, Louna has demonstrated a strong work ethic and financial acumen, positioning them well for the future.
",France,1
EUR,Eindhoven,Netherlands,3/13/82,Dutch,F,married,1,Moderate,Medium,Expert,Advisory,"['Denmark', 'Netherlands']",210000,930000,3610000,grandmother,Tech Entrepreneur,2009,"Britt Daantje Van Dijk and Schipper have been married since 2010. Britt and Schipper have 2 children, named Eva and Bo.","Britt received her secondary school diploma from Oosterlicht College Groningen in 1999.
Britt completed her university studies at Tio University of Applied Sciences in 2006.
On top of that she then attended Delft University of Technology, where she graduated in 2008.
","She managed to save approximately 210000 EUR from her earnings at all companies.
Her remarkable portfolio comprises 2 stunning properties. Situated in prime locations across Eindhoven and Leeuwarden, these assets demonstrate their sophisticated understanding of real estate investments and high-end lifestyle preferences.
","In light of the above, we are optimistic about the client's financial future and career progression and are eager to welcome her as a new client.
",Netherlands,0
EUR,Siena,Italy,1/27/00,Italian,F,married,1,High,Medium,Inexperienced,Discretionary,['Italy'],10000,1990000,0,grandmother,Tech Entrepreneur,2016,Francesca Ilaria Ferrari and  Marino have been married since 2025. They do not have any children.,"Francesca graduated from Liceo Classico Giovanni Paolo II Catania in 2019.
In 2022, Francesca graduated from IMT Institute for Advanced Studies Lucca with a degree.
","While working, she saved 10000 EUR, which she used to build a diversified investment portfolio.
Client does not have any properties.She inherited 1990000 EUR from her grandmother, a well-known , in , allowing her to expand her investment portfolio.
","In summary, Francesca has demonstrated a strong work ethic and financial acumen, positioning them well for the future.
",Italy,0
EUR,Salamanca,Spain,3/25/01,Spanish,F,single,1,Moderate,Long-Term,Inexperienced,Advisory,"['Austria', 'Spain']",0,2670000,0,grandmother,Real Estate Developer,2017,Consuelo Ramos is currently single. She does not have any children.,"Consuelo graduated from IES Francisco de Quevedo Valladolid in 2020.
Consuelo pursued higher education at Seville School of Fine Arts, graduating in 2025.
","She did not have any savings to invest in financial markets.
Client does not have any properties.
In addition to her career success, she also received an inheritance of 2670000 EUR from her late grandmother, a renowned Real Estate Developer, in 2017.
","The RM is looking forward to supporting the client in building a successful career and achieving financial stability.
",Spain,1
EUR,Mikkeli,Finland,3/27/85,Spanish,F,single,1,Moderate,Long-Term,Experienced,Discretionary,"['Spain', 'Finland']",130000,2790000,2728000,grandmother,Hedge Fund Manager,2020,Sofía Dácil Ramos is currently single. She does not have any children.,"Sofía received her secondary school diploma from Instituto de Educación Secundaria IES Pedro Salinas Jaén in 2004.
She then attended Polytechnic University of Valencia, which she graduated in 2007.
","She managed to save approximately 130000 EUR from her earnings at all companies.
She has flat located in Mikkeli, worth 798000 EUR.

In addition to her primary residence, she owns villa in Castellón de la Plana worth 1930000 EUR.


In addition to her career success, she also received an inheritance of 2790000 EUR from her late grandmother, a renowned Hedge Fund Manager, in 2020.
","Given the client's impressive career history and financial discipline, we are confident in her ability to achieve financial success and security.
",Spain,1
EUR,Turnhout,Belgium,1/17/73,Belgian,F,married,1,Considerable,Short,Expert,Discretionary,['Belgium'],420000,450000,3230000,father,Venture Capitalist,2013,Gabriella Amélie Sanders and Peiren tied the knot in 2007. They are proud parents of 2 children: Romane and Raes.,"Gabriella completed her secondary education at Atheneum Antwerpen Linkeroever in 1992.
Gabriella received her degree from Hasselt University in 1997.
","While working, she saved 420000 EUR, which she used to build a diversified investment portfolio.
She has villa located in Turnhout, worth 2260000 EUR.

She purchased flat in Kortrijk, where she spends her holidays. It is valued at 970000 EUR.
In 2013, she received an inheritance of 450000 EUR from her late father, who was a prominent Venture Capitalist, and has since invested it in various assets.
","In light of the above, we are optimistic about the client's financial future and career progression and are eager to welcome her as a new client.
",Belgium,0
DKK,Esbjerg,Denmark,10/19/02,Danish,M,single,1,High,Long-Term,Inexperienced,Advisory,['Denmark'],0,11670000,0,grandfather,Investment Banker,2020,Jørgensen Olsen Nørregaard is currently single. He does not have any children.,"In 2009, Jørgensen graduated from Ålborg Katedralskole with a secondary school diploma.
","He did not manage to save any money during his career.
Client does not have any properties.In 2020, he received an inheritance of 11670000 DKK from his late grandfather, who was a prominent Investment Banker, and has since invested it in various assets.
","The RM is committed to helping Jørgensen achieve financial success and security as he embarks on his professional journey.
",Denmark,0
EUR,Berlin,Germany,11/26/71,German,F,married,1,Considerable,Short,Expert,Discretionary,['Germany'],1700000,2320000,1250000,grandmother,Corporate Lawyer,2014,"Lina Fabienne Richter is married to Bauer. Lina and Bauer have 1 child, named Schmitt.","In 1990, Lina finished her secondary school education at Gymnasium am Stadtgarten Köln.
Lina received her degree from Karlsruhe University of Education in 1982.
","Throughout her career, she saved 1700000 EUR, investing in various assets to grow her wealth.
She has townhouse located in Berlin, worth 1250000 EUR.

She inherited a significant sum of 2320000 EUR from her grandmother, a respected Corporate Lawyer, in 2014, which she has wisely invested.
","In light of the above, we are optimistic about the client's financial future and career progression and are eager to welcome her as a new client.
",Germany,0
