name,address_city,address_street_name,address_street_number,address_postal_code,country_of_domicile,birth_date,nationality,passport_number,passport_issue_date,passport_expiry_date,gender,phone_number,email_address,marital_status,secondary_school,higher_education,employment_history,aum,inheritance_details,real_estate_details,investment_risk_profile,investment_horizon,investment_experience,type_of_mandate,preferred_markets,currency,address,client_id
Sabrina Luisa Haider,Karlsruhe,Kantstraße,32,10397,Germany,1990-03-24,Austrian,NT5683131,2020-11-11,2030-11-10,F,+49 5744 781915,sabrina.haider@gmail.com,single,"{'name': 'Erzbischöfliches Gymnasium Borromäum', 'graduation_year': 2008}","[{'university': 'Johannes Kepler University Linz', 'graduation_year': 2001}, {'university': 'University of Innsbruck', 'graduation_year': 2017}]","[{'start_year': 2014, 'end_year': None, 'company': 'Adidas AG', 'position': 'Assistant Designer', 'salary': 75000}]","{'savings': 90000, 'inheritance': 1820000, 'real_estate_value': 2720000}","{'relationship': 'grandmother', 'inheritance year': 2017, 'profession': 'Hedge Fund Manager'}","[{'property type': 'townhouse', 'property value': 1330000, 'property location': 'Karlsruhe'}, {'property type': 'house', 'property value': 1390000, 'property location': 'Traun'}]",Considerable,Long-Term,Experienced,Discretionary,"['Germany', 'Austria']",EUR,"{'city': 'Karlsruhe', 'street name': 'Kantstraße', 'street number': 32, 'postal code': '10397'}",7503
Cecilia Anna Donati,Brescia,Via IV Novembre,89,61124,Italy,1990-01-18,Italian,MT8043814,2018-06-21,2028-06-20,F,+39 385 9767691,cecilia.donati@unidata.it,single,"{'name': 'Liceo Musicale Ottorino Respighi Bologna', 'graduation_year': 2008}","[{'university': 'Academy of Fine Arts of Rome', 'graduation_year': 2012}]","[{'start_year': 2014, 'end_year': 2018, 'company': 'Prada S.p.A.', 'position': 'Assistant Designer', 'salary': 28000}, {'start_year': 2019, 'end_year': None, 'company': 'Gucci S.p.A.', 'position': 'Senior Designer', 'salary': 45000}]","{'savings': 50000, 'inheritance': 560000, 'real_estate_value': 4140000}","{'relationship': 'grandmother', 'inheritance year': 2015, 'profession': 'Neurosurgeon'}","[{'property type': 'villa', 'property value': 1940000, 'property location': 'Brescia'}, {'property type': 'house', 'property value': 1480000, 'property location': 'Bologna'}, {'property type': 'condo', 'property value': 720000, 'property location': 'Padua'}]",Moderate,Long-Term,Experienced,Advisory,"['Belgium', 'Italy']",EUR,"{'city': 'Brescia', 'street name': 'Via IV Novembre', 'street number': 89, 'postal code': '61124'}",529
Bakker Visser Verhoeven,Hengelo,Koninginnegracht,19,1156 73,Netherlands,1963-11-01,Dutch,NQ0713934,2017-02-27,2027-02-26,M,06 57105499,bakker.verhoeven@tele2.nl,married,"{'name': 'Gerardus Majellalynceum Amsterdam', 'graduation_year': 1981}","[{'university': 'Tio University of Applied Sciences', 'graduation_year': 1988}]","[{'start_year': 1987, 'end_year': 1990, 'company': 'Gilde Buy Out Partners B.V.', 'position': 'Analyst', 'salary': 44000}, {'start_year': 1992, 'end_year': 1997, 'company': 'Waterland Private Equity Investments B.V.', 'position': 'Associate', 'salary': 85000}, {'start_year': 1998, 'end_year': 2001, 'company': 'Waterland Private Equity Investments B.V.', 'position': 'Investment Director', 'salary': 79000}, {'start_year': 2002, 'end_year': 2024, 'company': 'Alpinvest Partners B.V.', 'position': 'Partner', 'salary': 1003000}]","{'savings': 1750000, 'inheritance': 0, 'real_estate_value': 1530000}",{},"[{'property type': 'condo', 'property value': 1530000, 'property location': 'Hengelo'}]",Moderate,Medium,Expert,Advisory,"['Austria', 'Netherlands']",EUR,"{'city': 'Hengelo', 'street name': 'Koninginnegracht', 'street number': 19, 'postal code': '1156 73'}",2071
Rissanen Salo Turunen,Lappeenranta,Meritullinkatu,20,81147,Finland,1973-07-14,Finnish,IK9849205,2020-01-14,2030-01-13,M,045 329 36 72,rissanen.turunen@suomi24.fi,married,"{'name': 'Lohjan lukio', 'graduation_year': 1993}","[{'university': 'JAMK University of Applied Sciences', 'graduation_year': 1998}]","[{'start_year': 2003, 'end_year': 2004, 'company': 'Patria Aviation Oy', 'position': 'Program Manager', 'salary': 57000}, {'start_year': 2005, 'end_year': None, 'company': 'Finnair Oyj', 'position': 'Director of Operations', 'salary': 437000}]","{'savings': 690000, 'inheritance': 190000, 'real_estate_value': 2070000}","{'relationship': 'mother', 'inheritance year': 2006, 'profession': 'Investment Banker'}","[{'property type': 'villa', 'property value': 2070000, 'property location': 'Lappeenranta'}]",Low,Short,Experienced,Discretionary,"['Switzerland', 'Finland']",EUR,"{'city': 'Lappeenranta', 'street name': 'Meritullinkatu', 'street number': 20, 'postal code': '81147'}",9499
Richard Simon Robin,Grenoble,Boulevard Arago,94,79101,France,1976-12-12,French,YW8605401,2017-12-16,2027-12-15,M,08 80 78 66 39,richard.robin@laposte.net,married,"{'name': 'Lycée Pierre Corneille', 'graduation_year': 1995}","[{'university': 'ESSEC Business School', 'graduation_year': 1999}]","[{'start_year': 2001, 'end_year': 2006, 'company': 'Apax Partners SAS', 'position': 'Analyst', 'salary': 39000}, {'start_year': 2006, 'end_year': 2008, 'company': ' Eurazeo SE', 'position': 'Associate', 'salary': 43000}, {'start_year': 2009, 'end_year': 2011, 'company': 'PAI Partners', 'position': 'Investment Director', 'salary': 69000}, {'start_year': 2012, 'end_year': 2024, 'company': ' Eurazeo SE', 'position': 'Partner', 'salary': 313000}]","{'savings': 420000, 'inheritance': 220000, 'real_estate_value': 1580000}","{'relationship': 'mother', 'inheritance year': 2007, 'profession': 'Real Estate Developer'}","[{'property type': 'townhouse', 'property value': 1580000, 'property location': 'Grenoble'}]",Moderate,Medium,Expert,Advisory,"['France', 'Denmark']",EUR,"{'city': 'Grenoble', 'street name': 'Boulevard Arago', 'street number': 94, 'postal code': '79101'}",25
Andrea Sarah Fischer,Brussels,Rue du Houblon,99,1630,Belgium,1993-07-15,Austrian,SS4721773,2019-05-19,2029-05-18,F,+32 0417 836 364,andrea.fischer@skype.be,widowed,"{'name': 'HAK/HAS Grödig', 'graduation_year': 2011}","[{'university': 'Danube Private University Krems', 'graduation_year': 2016}]","[{'start_year': 2017, 'end_year': 2019, 'company': 'ExxonMobil Belgium NV', 'position': 'Drilling Engineer', 'salary': 35000}, {'start_year': 2019, 'end_year': None, 'company': 'ExxonMobil Belgium NV', 'position': 'Reservoir Engineer', 'salary': 69000}]","{'savings': 70000, 'inheritance': 650000, 'real_estate_value': 3988000}","{'relationship': 'grandfather', 'inheritance year': 2017, 'profession': 'Tech Entrepreneur'}","[{'property type': 'house', 'property value': 1380000, 'property location': 'Brussels'}, {'property type': 'condo', 'property value': 1198000, 'property location': 'Zwettl'}, {'property type': 'house', 'property value': 1410000, 'property location': 'Bregenz'}]",High,Medium,Inexperienced,Discretionary,"['Austria', 'Belgium']",EUR,"{'city': 'Brussels', 'street name': 'Rue du Houblon', 'street number': 99, 'postal code': '1630'}",4386
Wagner Schneider Bauer,Stuttgart,Neuer Markt,22,02427,Germany,2002-09-01,German,KI1021990,2017-12-17,2027-12-16,M,9094 766084,wagner.bauer@t-online.de,single,"{'name': 'Melanchthon-Gymnasium Nürnberg', 'graduation_year': 2021}",[],[],"{'savings': 0, 'inheritance': 1630000, 'real_estate_value': 0}","{'relationship': 'grandmother', 'inheritance year': 2020, 'profession': 'Investment Banker'}",[],Moderate,Long-Term,Inexperienced,Advisory,"['Germany', 'Spain']",EUR,"{'city': 'Stuttgart', 'street name': 'Neuer Markt', 'street number': 22, 'postal code': '02427'}",5254
Geertje Janneke Voorn,Eindhoven,Grote Markt,55,6159 83,Netherlands,1977-04-01,Dutch,MV9554000,2019-06-02,2029-06-01,F,+31 06 63532975,geertje.voorn@tele2.nl,married,"{'name': 'RSG Magister Almelo', 'graduation_year': 1995}","[{'university': 'Leiden University', 'graduation_year': 1999}, {'university': 'Utrecht University', 'graduation_year': 2004}]","[{'start_year': 2001, 'end_year': 2002, 'company': 'Mauritshuis', 'position': 'Art Dealer', 'salary': 42000}, {'start_year': 2003, 'end_year': 2004, 'company': 'Mauritshuis', 'position': 'Gallery Owner', 'salary': 69000}, {'start_year': 2004, 'end_year': 2006, 'company': 'Stedelijk Museum Amsterdam', 'position': 'Art Advisor', 'salary': 92000}, {'start_year': 2006, 'end_year': None, 'company': 'Mauritshuis', 'position': 'Curator', 'salary': 820000}]","{'savings': 1310000, 'inheritance': 420000, 'real_estate_value': 1140000}","{'relationship': 'father', 'inheritance year': 2014, 'profession': 'Private Equity Manager'}","[{'property type': 'flat', 'property value': 1140000, 'property location': 'Eindhoven'}]",Moderate,Medium,Expert,Discretionary,"['Germany', 'Netherlands']",EUR,"{'city': 'Eindhoven', 'street name': 'Grote Markt', 'street number': 55, 'postal code': '6159 83'}",4988
Emma Martina Fabbri,Perugia,Via Veneto,25,47524,Italy,1976-06-17,Italian,YH1417692,2018-01-23,2028-01-22,F,+39 375 0463995,emma.fabbri@gmail.com,single,"{'name': 'Liceo Artistico Michelangelo Buonarroti Venezia', 'graduation_year': 1996}","[{'university': 'IMT Institute for Advanced Studies Lucca', 'graduation_year': 2001}]","[{'start_year': 2000, 'end_year': 2001, 'company': 'Galleria degli Uffizi', 'position': 'Art Dealer', 'salary': 28000}, {'start_year': 2002, 'end_year': 2005, 'company': 'Museo Poldi Pezzoli', 'position': 'Gallery Owner', 'salary': 38000}, {'start_year': 2006, 'end_year': 2008, 'company': 'Galleria Borghese', 'position': 'Art Advisor', 'salary': 61000}, {'start_year': 2010, 'end_year': None, 'company': 'Galleria degli Uffizi', 'position': 'Curator', 'salary': 462000}]","{'savings': 640000, 'inheritance': 4050000, 'real_estate_value': 0}","{'relationship': 'grandfather', 'inheritance year': 2006, 'profession': 'Private Equity Manager'}",[],Moderate,Short,Expert,Advisory,['Italy'],EUR,"{'city': 'Perugia', 'street name': 'Via Veneto', 'street number': 25, 'postal code': '47524'}",5066
Navarro García Muñoz,Valladolid,Calle de la Paz,25,46193,Spain,1981-11-02,Spanish,BW6975892,2017-09-26,2027-09-25,M,+34 603 589 582,navarro.munoz@wanadoo.es,single,"{'name': 'Instituto de Educación Secundaria IES Pedro Salinas Jaén', 'graduation_year': 2001}","[{'university': 'CEU San Pablo University', 'graduation_year': 2006}]","[{'start_year': 2005, 'end_year': 2007, 'company': 'Amadeus IT Group S.A.', 'position': 'Software Developer', 'salary': 27000}, {'start_year': 2009, 'end_year': None, 'company': 'Amadeus IT Group S.A.', 'position': 'Startup Founder', 'salary': 95000}]","{'savings': 140000, 'inheritance': 8420000, 'real_estate_value': 1280000}","{'relationship': 'mother', 'inheritance year': 2011, 'profession': 'Private Equity Manager'}","[{'property type': 'house', 'property value': 1280000, 'property location': 'Valladolid'}]",High,Short,Experienced,Discretionary,['Spain'],EUR,"{'city': 'Valladolid', 'street name': 'Calle de la Paz', 'street number': 25, 'postal code': '46193'}",7731
Moens De Smet Hermans,La Louvière,Rue des Chartreux,8,9611,Belgium,1984-06-15,Belgian,QK1799300,2017-06-25,2024-06-24,M,+32 0482 528 373,moens.hermans@voo.be,married,"{'name': 'Koninklijk Atheneum Berchem', 'graduation_year': 2003}","[{'university': 'University of Liège', 'graduation_year': 2009}]","[{'start_year': 2008, 'end_year': 2011, 'company': 'ING Private Banking Belgium', 'position': 'Financial Advisor', 'salary': 41000}, {'start_year': 2012, 'end_year': 2013, 'company': 'BNP Paribas Wealth Management Belgium', 'position': 'Portfolio Manager', 'salary': 50000}, {'start_year': 2015, 'end_year': 2024, 'company': 'KBC Private Banking NV', 'position': 'Wealth Manager', 'salary': 132000}]","{'savings': 170000, 'inheritance': 2120000, 'real_estate_value': 2030000}","{'relationship': 'grandfather', 'inheritance year': 2020, 'profession': 'Stock Trader'}","[{'property type': 'townhouse', 'property value': 950000, 'property location': 'La Louvière'}, {'property type': 'flat', 'property value': 1080000, 'property location': 'Aalst'}]",Moderate,Medium,Experienced,Advisory,"['Belgium', 'Finland']",EUR,"{'city': 'La Louvière', 'street name': 'Rue des Chartreux', 'street number': 8, 'postal code': '9611'}",2243
Mari Essi Paananen,Turin,Piazza Venezia,18,87324,Italy,1973-06-12,Finnish,PE6051292,2024-01-24,2034-01-23,F,+39 360 0795005,mari.paananen@infinito.it,divorced,"{'name': 'Lieksan lukio', 'graduation_year': 1991}","[{'university': 'Metropolia University of Applied Sciences', 'graduation_year': 1998}]","[{'start_year': 1997, 'end_year': 2000, 'company': 'Edison S.p.A.', 'position': 'Drilling Engineer', 'salary': 41000}, {'start_year': 2000, 'end_year': 2005, 'company': 'SNAM S.p.A.', 'position': 'Reservoir Engineer', 'salary': 76000}, {'start_year': 2005, 'end_year': 2009, 'company': 'Edison S.p.A.', 'position': 'Operations Manager', 'salary': 72000}, {'start_year': 2009, 'end_year': 2014, 'company': 'SNAM S.p.A.', 'position': 'VP of Exploration', 'salary': 293000}, {'start_year': 2016, 'end_year': None, 'company': 'ERGA S.p.A.', 'position': 'CEO', 'salary': 313000}]","{'savings': 630000, 'inheritance': 950000, 'real_estate_value': 1220000}","{'relationship': 'mother', 'inheritance year': 2012, 'profession': 'Corporate Lawyer'}","[{'property type': 'townhouse', 'property value': 1220000, 'property location': 'Turin'}]",Moderate,Medium,Experienced,Discretionary,"['Finland', 'Italy']",EUR,"{'city': 'Turin', 'street name': 'Piazza Venezia', 'street number': 18, 'postal code': '87324'}",3391
Louise Lina Fournier,Rennes,Place Vendôme,44,82006,France,1987-08-22,French,KO4853053,2021-11-30,2031-11-29,F,08 70 41 80 24,louise.fournier@orange.fr,married,"{'name': 'Lycée Henri IV', 'graduation_year': 2007}","[{'university': 'École Normale Supérieure (ENS) Paris', 'graduation_year': 2011}]","[{'start_year': 2012, 'end_year': 2015, 'company': 'Saint-Gobain S.A.', 'position': 'Plant Manager', 'salary': 29000}, {'start_year': 2016, 'end_year': None, 'company': 'Schneider Electric S.E.', 'position': 'Operations Director', 'salary': 60000}]","{'savings': 80000, 'inheritance': 4220000, 'real_estate_value': 5220000}","{'relationship': 'grandmother', 'inheritance year': 2019, 'profession': 'Private Equity Manager'}","[{'property type': 'villa', 'property value': 2680000, 'property location': 'Rennes'}, {'property type': 'condo', 'property value': 1280000, 'property location': 'Le Mans'}, {'property type': 'condo', 'property value': 1260000, 'property location': 'Besançon'}]",Moderate,Medium,Expert,Advisory,['France'],EUR,"{'city': 'Rennes', 'street name': 'Place Vendôme', 'street number': 44, 'postal code': '82006'}",8779
Castro Herrera Romero,Toledo,Calle de la Princesa,75,98602,Spain,2003-08-30,Spanish,DL7699098,2023-02-01,2028-01-31,M,+34 639 049 731,castro.romero@hotmail.com,single,"{'name': 'Colegio Jesús-María Tarragona', 'graduation_year': 2022}",[],[],"{'savings': 0, 'inheritance': 1420000, 'real_estate_value': 0}","{'relationship': 'grandmother', 'inheritance year': 2017, 'profession': 'Oil and Gas Executive'}",[],High,Medium,Inexperienced,Advisory,"['France', 'Spain']",EUR,"{'city': 'Toledo', 'street name': 'Calle de la Princesa', 'street number': 75, 'postal code': '98602'}",5402
Aurora Katriina Tolvanen,Pori,Meritullinkatu,99,17071,Finland,1990-05-19,Finnish,WO6860338,2019-04-04,2029-04-03,F,+358 043 041 13 81,aurora.tolvanen@elisa.fi,married,"{'name': 'Nummela lukio', 'graduation_year': 2010}","[{'university': 'University of Helsinki', 'graduation_year': 2015}, {'university': 'Hanken School of Economics', 'graduation_year': 2018}]","[{'start_year': 2015, 'end_year': 2023, 'company': 'Sentica Partners Oy', 'position': 'Analyst', 'salary': 49000}]","{'savings': 40000, 'inheritance': 1950000, 'real_estate_value': 860000}","{'relationship': 'grandmother', 'inheritance year': 2018, 'profession': 'Neurosurgeon'}","[{'property type': 'flat', 'property value': 860000, 'property location': 'Pori'}]",High,Medium,Experienced,Advisory,"['France', 'Finland']",EUR,"{'city': 'Pori', 'street name': 'Meritullinkatu', 'street number': 99, 'postal code': '17071'}",7355
